City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,soe,-9.8607,124.284,31.04,44,69,69,69,69
171,happy valley-goose bay,53.3168,-60.3315,-14.83,78,75,75,75,75
172,new plymouth,-39.0667,174.0833,17.67,94,100,100,100,100
173,escarcega,18.6089,-90.7454,22.85,85,38,38,38,38
174,kingston,17.997,-76.7936,28.53,83,20,20,20,20
175,fonte boa,-2.4959,-66.2662,23.05,99,100,100,100,100
176,thompson,55.7435,-97.8558,-10.91,85,75,75,75,75
177,forster,-32.1667,152.5167,24.1,80,72,72,72,72
178,limon,10.0,-83.0333,24.47,82,32,32,32,32
179,mejit,10.2753,170.8646,27.24,78,53,53,53,53
180,berezovyy,51.6667,135.7,-9.53,52,75,75,75,75
181,freetown,8.484,-13.2299,26.1,85,68,68,68,68
182,monywa,22.1167,95.1333,23.08,75,100,100,100,100
183,st. john's,47.5649,-52.7093,2.76,93,75,75,75,75
184,faya-largeau,17.9257,19.1043,20.75,18,10,10,10,10
185,uliastay,47.7417,96.8444,-7.61,77,97,97,97,97
186,yeed,4.55,43.0333,24.64,60,99,99,99,99
187,port blair,11.6667,92.75,29.02,84,75,75,75,75
188,nantucket,41.2835,-70.0995,8.06,94,100,100,100,100
189,kerikeri,-35.2268,173.9474,20.51,91,95,95,95,95
190,antonio enes,-16.2325,39.9086,25.08,63,0,0,0,0
191,natal,-5.795,-35.2094,26.12,83,40,40,40,40
192,carnarvon,-24.8667,113.6333,27.37,50,0,0,0,0
193,lakheri,25.6667,76.1667,22.39,56,64,64,64,64
194,paracuru,-3.41,-39.0306,27.28,79,10,10,10,10
195,afaahiti,-17.75,-149.2833,28.93,81,100,100,100,100
196,dunedin,-45.8742,170.5036,11.56,71,73,73,73,73
197,klyuchi,52.2667,79.1667,1.74,97,100,100,100,100
198,puerto ayora,-0.7393,-90.3518,23.64,96,97,97,97,97
199,bilibino,68.0546,166.4372,-25.81,98,83,83,83,83
200,port sudan,19.6175,37.2164,25.27,78,48,48,48,48
201,acarau,-2.8856,-40.12,25.69,78,23,23,23,23
202,kikwit,-5.041,18.8162,20.48,99,97,97,97,97
203,juneau,58.3019,-134.4197,0.23,93,75,75,75,75
204,labuan,5.2767,115.2417,30.2,74,20,20,20,20
205,jiexiu,37.0244,111.9125,7.24,20,1,1,1,1
206,ntungamo,-0.8833,29.65,16.66,96,66,66,66,66
207,magadan,59.5667,150.8,-23.04,88,100,100,100,100
208,puerto aysen,-45.4,-72.7,4.67,100,100,100,100,100
209,fort bragg,35.139,-79.006,19.34,87,100,100,100,100
210,la foa,-21.7108,165.8276,28.6,61,100,100,100,100
211,sao gabriel da cachoeira,-0.1303,-67.0892,23.35,98,100,100,100,100
212,lautoka,-17.6167,177.4667,30.92,62,20,20,20,20
213,debila,33.5167,6.95,12.04,50,0,0,0,0
214,yanykurgan,43.915,67.2481,6.19,82,85,85,85,85
215,mulayjah,27.271,48.4242,16.42,42,1,1,1,1
216,skovorodino,53.9833,123.9167,-13.02,83,100,100,100,100
217,dapa,9.7594,126.0531,27.86,80,90,90,90,90
218,caribou,46.8606,-68.012,0.24,92,100,100,100,100
219,coquimbo,-29.9533,-71.3436,14.85,88,0,0,0,0
220,kismayo,-0.3582,42.5454,27.47,78,42,42,42,42
221,toliara,-23.35,43.6667,23.19,59,0,0,0,0
222,san ramon,37.7799,-121.978,14.12,91,100,100,100,100
223,talara,-4.5772,-81.2719,21.07,84,32,32,32,32
224,sirjan,29.452,55.6814,10.0,43,0,0,0,0
